review,rating,sentiment,source,category
Jele,,negative,owned_tokped,tokped_flashdisk_negative
"Barang yang dikirim salah, memang bs ditukar tp habis waktu..next tlg lbh teliti dlm mengirim barang",,negative,owned_tokped,tokped_masker_negative
"Data yang disimpan cepat corrupt, FLSDISH error",,negative,owned_tokped,tokped_flashdisk_negative
"Produk kurang beli 4 dikriim 3. Penjual tidak mau tanggung jawab. Syukurnya pihak shopee bijaksana. Kalau tdk sy akan rugi +/- 94.000
Terimakasih shopee...tks",1.0,negative,owned_shopee,shopee_lipstick
"1 fd ga berfungsi ga bisa ngebaca selalu minta format, 2 fd kalau ngopy file harus satu satu, kalau kita mau ngopy ratusan foto g bisa sekaligus harus satu satu. Kalau sekaligus ga bisa kebaca. Lebih baik beli yg ORI  kalau ga mau nyesel. Karena ORI 99 juga artinya KW",1.0,negative,owned_shopee,shopee_flashdisk
Barangnya sampai tapi pecah ,2.0,negative,owned_shopee,shopee_blushon
Sebelum kau menyesal seperti saya.,,negative,owned_tokped,tokped_flashdisk_negative
"Barang yg Datang Tidak Sesuai dengan Pesanan…
Pesan kode 010 yang datang kode 07",1.0,negative,owned_shopee,shopee_lipstick
hal seperti ini yg membuat kita agak ragu utk belanja online yg harganya relatif mahal.,,negative,owned_tokped,tokped_speaker_bluetooth_negative
Baru di coba.. Dr 8 buah semua nya error.. Ada yg ga bisa kebaca.. Ada yg kebaca tp setelah dicek lagi file nya error.. Rugi total,,negative,owned_tokped,tokped_flashdisk_negative
"Lumayan sesuai dengan harga, agak ringkih semoga awet, terimakasih ?.

Maaf aku ubah bintangnya, baru 1 malem dipake udh gabisa muter ?. ",2.0,negative,owned_shopee,shopee_kipas
Barang tidak sesuai pesanan..tidak bisa di gunakan,1.0,negative,owned_shopee,shopee_kipas
 Respon penjual tidak baik warna barang yang datang tidak sesuai asli jangan pesen disini nyesel nantinya _????,1.0,negative,owned_shopee,shopee_lipstick
"Kenyamanan aplikator:3
Intensitas:3
Ketahanan:3

Masa gabisa pembatalan pembelian, padahal blm pernah dan cuma mau ubah pesenan,kalau gabisa pembatalan buat apa ada pilihan untuk bisa pembatalan.",2.0,negative,owned_shopee,shopee_mascara
Tledor,1.0,negative,owned_shopee,shopee_kipas
"Sering belanja di shopee tapi baru kali ini penjual gak friendly, setidaknya bilang maaf. Online trs tapi gak respon keluhan pelanggan.. KECEWA",1.0,negative,owned_shopee,shopee_pakaian_wanita_done
Saya pesannya size L kak kok yg tiba size M..Sy chat kok gak di balas,1.0,negative,owned_shopee,shopee_pakaian_wanita_done
"Ap yg mau d nilai barang nya tidak sampai,  kalau tidak ad barang nya confirmasi dong,  dagang ko seperti ini.",1.0,negative,owned_shopee,shopee_kamera
"Kecewa,  g sesuai gambar atau keterangan. Katanya untuk innova lama,  yg dikirim untuk innova baru, jd g k pke mubatzir... Sedihhhh",1.0,negative,owned_shopee,shopee_kamera
ukurannya untuk anak umur 12thn,,negative,owned_tokped,tokped_masker_negative
sudah saya coba cancel dulu. malah tidak di acc,1.0,negative,owned_shopee,shopee_charger
"Lebih baik dan teliti aja dalam pengemasan nya, jadiin contoh aja, barang nya pecah karna benturan atau apalah gatau, 
Karna ada bahan dari plastik jdi dalam pengemasan dus yg membungkus nya harus 2x lipat, ",2.0,negative,owned_shopee,shopee_setrika
Barang tidak sesuai pesanan.ukurannya kebesaran,1.0,negative,owned_shopee,shopee_kamera
SAMA SEKALI TIDAK MENGELUARKAN WARNA KAGET SIH TP COCOKLAH DG HARGA MURAH KUALITAS PUN BEGINI,1.0,negative,owned_shopee,shopee_blushon
2 minggu pemakaian kulitnya retak retak,,negative,owned_tokped,tokped_sepatu_kulit_negative
Barangnya lama sampai n rusak ternyata.... nga mau idup ???,1.0,negative,owned_shopee,shopee_kipas
Tiwas tuku akeh barange bosok,,negative,owned_tokped,tokped_flashdisk_negative
"Barangnya tulisan premium, tp kawat di hidung pada lepas2.",,negative,owned_tokped,tokped_masker_negative
"Harga:mahal
Fitur:pokoknya krg puas dgn bahan
Kualitas:2 dipesan 1 bahanya bgs 1 tdk bagus

Menjual produk abal2. Psn 2 tp bahanya beda2 . 1 bahanya bgs tp yg 1 bahannya panas. Bgm ini ?",1.0,negative,owned_shopee,shopee_kacamata
Tidak tertarik lagi beli disini........................................................................................,2.0,negative,owned_shopee,shopee_headset
tidak bisa di gunakan. jelek,,negative,owned_tokped,tokped_flashdisk_negative
"kecewa kompornya pecah
pastikan dong ka kalo pengiriman barang mudah pecah dikasih pengaman kasian yang beli mau dipake jadi engga bisa ",1.0,negative,owned_shopee,shopee_kompor
sis maaf ya ku kasi bintang 1. karna kamu tidak menepati janji. set anak ku yg 3 pesanan kemaren gak di ganti. pdahal janji mu mau ganti di pesenan berikut nya. produk mu memang bagus dan murah tapi kalu seller nya gak amanah maaf lah mungkin ini  terakhir aq belanja di sini . makasih.,1.0,negative,owned_shopee,shopee_cincin
Ga sesuai dg fotonya,,negative,owned_tokped,tokped_masker_negative
pokoknya kecewa....,,negative,owned_tokped,tokped_speaker_bluetooth_negative
"Lengannya ga sama kaya digambar terus karet tangannya juga keluar² gitu ga rapih banget, dan respon seller nya bener² deh masa nanya aja 1 pertanyaan aja langsung di blok parah bangettt ",2.0,negative,owned_shopee,shopee_pakaian_wanita_done
"Yang mau beli kipas anggin di toko miming pikir""

Krn saya beli di toko miming UD besinya peot""  tambah lagi di belakang puteranya hancur,dan parahnya baling"" kipas nya ga ad ,",1.0,negative,owned_shopee,shopee_kipas
"Barang memang sampai tepat waktu. tapi setelah dicoba tidak bisa untuk menyimpan file, datanya hilang semua. saya beli rating 2 karena pengiriman cepat",,negative,owned_tokped,tokped_flashdisk_negative
 Kualitas produk tidak baik.... 1 lusin lipstik nya patah smua.. packing tidak bagus.... kecewa skali,1.0,negative,owned_shopee,shopee_lipstick
"Pembeli sangat slow respon, tidak ramah, toko disini tidak rekomendasi ",1.0,negative,owned_shopee,shopee_meja
Barangnya tidak dikirim!!!!!!!,1.0,negative,owned_shopee,shopee_kacamata
"Ini penglamn buruk untk sy,terima brng lnsung klik knfrmsi brng terima,pdhl blum cek kondisi brng.Dri luar krdus pnyok parah tp sy ttp positif tnking, sy kira yg pnting ada video unboxing klo nnti brng rusak ada buktinya, tp trnyta pihak ekspdisi, aplgi seller tdk mau bertanggungjwb! SYA TDK IKHLAS!",1.0,negative,owned_shopee,shopee_kipas
Bagian frame bengkok ke arah dalam sebelah kiri jadi tdk nyaman dipakai. Sptnya tdk ada pengecekan sebelum dikirim,1.0,negative,owned_shopee,shopee_kacamata
Baru 2 hari sudah mau jebol smping kanan kiri yah.. Kualitas bahan sepatu jelek... Sangat kecewa... ,1.0,negative,owned_shopee,shopee_sepatu_kulit
Kecewa yg di kirim gak sama yg di gambar,2.0,negative,owned_shopee,shopee_sepatu_kulit
"Dicharge, tidak bisa penuh batrenya + pas batre low, mengeluarkan suara yang berisik.",,negative,owned_tokped,tokped_speaker_bluetooth_negative
"Beda banget samaa yg d gambar, d gambar bagus ko Dateng nya malah ginii sih? Mauu d tuker lagi ",1.0,negative,owned_shopee,shopee_pakaian_wanita_done
jir beli 8 biji dua kali pengiriman instant kurir yg bisa dipake cuma 4.,,negative,owned_tokped,tokped_flashdisk_negative
"ini bisa nyala nya musti sambil di colokin apa gimana sih?nge charge semaleman tapi warna masih merah, gak dicolokin juga gak nyala ?",2.0,negative,owned_shopee,shopee_kipas
pesan putih mlh hitam 2 2 nya😟,,negative,owned_tokped,tokped_masker_negative
"Barang sudah sampai, tapi pengiriman lambat banget,, penjualnya juga kurang responsif..",2.0,negative,owned_shopee,shopee_perawatan_kecantikan
Pesen maskara dapet eylener gimana ini,2.0,negative,owned_shopee,shopee_mascara
Bagus si kemasannya tapi baru kali ini kecewa saya pesen blushed nudes digambar warna ada yang agak keorange 3 warna sama pink satu yang dateng orange 1 pink 2 sama coklat 1 ? jadinya ga cocok sama kulitku dong??,1.0,negative,owned_shopee,shopee_lipstick
Lumayan harga segitu,1.0,negative,owned_shopee,shopee_sendok_garpu
"Enak suaranya 
Pengiriman ok
tp ini baru apa bekas kok kayak bekas ya
 belakang nya semuanya lecet kalau di pakek sendiri gk masalah   .
mau dijual lagi soalnya
Yg jujur donk kalau jualan kasian yg beli mau di jual lg gann ",1.0,negative,owned_shopee,shopee_speaker_bluetooth
Sebenarnya seller responsif.. Cm barang korslet pas baru dicoba.. Mungkin saya kurang beruntung dapet barangnya..,,negative,owned_tokped,tokped_speaker_bluetooth_negative
Gimana ya ?paket diterima tp kondisi kardus penyok gaada bubble wrappingnya dan kardus jg pada sobek sobek padahal buat kado. Tolong perhatiannya lg ya . Jd kecewa kan?,1.0,negative,owned_shopee,shopee_setrika
"kecewa banget sy tuch. kipas nya gk bs nyala. sdh coba di ces semalam suntuk, ttp aja gak bs nyala. not recommended. pembeli sy kecewa.",1.0,negative,owned_shopee,shopee_kipas
Ini tolong ya niat baik ya saya tunggu pesen 4 yg Dateng 2 ..di chat GK di bls di wa jg GK di respon jangan kaya gtu jualan bang klo mau laku..saya kga terima Kya gini,1.0,negative,owned_shopee,shopee_kipas
"tdnya mw diksh bintang 5 krn pengirimannya cpt n sesuai dgn pesanan gambarnya tp stelah di cek, bagian dpn kipas ga muter n terus putaran pengatur kecepatannya copot, jd drop dah... emang barang ga bs di cek sblm dikirim ya?",2.0,negative,owned_shopee,shopee_kipas
"Maaf, bintang 2 aja yah karena sepatu yang saya terima ada cacat di sepatu kanan bagian depan. Seandainya di bagian dalam sih gak kelihatan.",2.0,negative,owned_shopee,shopee_sepatu_kulit
Pesan 2 tp yg dikirim cuma 1,2.0,negative,owned_shopee,shopee_pisau_dapur
Baru di hidupkan 10 menitan langsung bau gosong dan tiba2 mati gak mau hidup lagi,1.0,negative,owned_shopee,shopee_kipas
"Barang gak dtg dtg sampe skrg udah tlp pihak jnt pun gak ada respon brg untuk dtg, di kasih nomer yang ngirim brg malah gak aktif:( ",1.0,negative,owned_shopee,shopee_kipas
"bagus,sesuai pesanan",,negative,owned_tokped,tokped_kompor_negative
"Pesan 2 kotak warna hitam & 2 kotak warna putih (harga berbeda, hitam lebih mahal), yang datang warna putih semua tanpa ada chat atau konfirmasi dari penjual masker habis atau mau ditukar.",,negative,owned_tokped,tokped_masker_negative
"Pengirimannya cepat sekali, pesanan malam besok sudah sampai. Maaf banget buat kwalitas produknya sangat mengecewakan, warna lipstiknya bagus tapi bau dari lipstiknya seperti cat dan bau tengik dan akhirnya ga terpakai:((",2.0,negative,owned_shopee,shopee_lipstick
Barangnya sudah datang tapi kalo dipakai kok kurang nyaman yaaa........... gpp lah... terima kasih yaaaaa..........,2.0,negative,owned_shopee,shopee_setrika
"Kecewaaaaa...
Mati ga bisa d pake",2.0,negative,owned_shopee,shopee_headset
packing barang udh ky sampah d kuwel2,,negative,owned_tokped,tokped_masker_negative
"Payah ini, bayar pakai kurir yg sehari smpe, malah lamaaaaa........pesan tgl 1 baru sampe tgl 4, barang mau di pakai malah blm sampe-sampe. Tau gitu pakai yg gratis ongkir aja dah",,negative,owned_tokped,tokped_masker_negative
"barang tidak sesuai dengan judul, judul iklan original tapi barang tidak ori.",,negative,owned_tokped,tokped_speaker_bluetooth_negative
"yang dikirim ukuran tidak sesuai, minta 41 yang dikirim 43, cuman stiker doang ukuran 41 realitanya ukuran 43, minta retur tapi ongkir gk mau nanggung, pinginnya beli online biar gk ribet makin ribet, kalau jual yang amanah dong, biar laku !
mau gimana lagi, gk kepakai, dan gua iklhas !",1.0,negative,owned_shopee,shopee_sepatu_kulit
"Reseller gak amanah...
Katanya gak mudah luntur baru pakek 3hari ja dah luntur ?",1.0,negative,owned_shopee,shopee_cincin
"JANGAN BELI DI TOKO INI! Sebelumnya baca ulasan ada yand dikirimin barang yang beda. Saya kira cuman kesalahan sekali saja. Ternyata saya juga dikirimin barang yang beda dan jauh lebih murah. Ketika nanya ready atau tidak, sangat cepat responnya. Ada. Dikirimin cepat. Salah barang. Saya tanya berkali-kali, tidak pernah dijawab. Tentunya kalau komplen ribet harus kirim balik barang. Mana jaman korona. Ini sih lebih dekat ke penipuan. HATI-HATI!!",,negative,owned_tokped,tokped_speaker_bluetooth_negative
Kipas tanpa terhubung listrik tidak bisa berfungsi,2.0,negative,owned_shopee,shopee_kipas
Maaf bos... Brang dk sesuai... Mksh sudah kirim barang rusak.... Semoga lancar.... ,1.0,negative,owned_shopee,shopee_kamera
"NOT RECOMENDED.,,, masker sampah,,, tipis tidak layak pakai,,, sudah terlanjur beli banyak,,, 😢😢 rencana mau dijual lagi malah datangnya kyk gini,,,,",,negative,owned_tokped,tokped_masker_negative
"ga sampe seminggu, pala nya udh copot, payah",,negative,owned_tokped,tokped_ikat_pinggang_negative
"Daya serap:bagus
Efektivitas:bagus
Kenyamanan:bagus

Bikin jijik mau bkngkar paketanny harus pake tongkat kecil sepeti cari kupon undian.seperti mencari barang ditengah sampah ya begitulah kondisinya..ilfil deh",2.0,negative,owned_shopee,shopee_masker
"Belinya 128 gb, tp kapasitasnya cuma (123...) -> 114 gb 😢",,negative,owned_tokped,tokped_flashdisk_negative
"Baru di pake 3x sudah rusak, gaspernya lepas",1.0,negative,owned_shopee,shopee_ikat_pinggang
"tekstur kurang halus, art ukiran kasar tdk digosok. ",2.0,negative,owned_shopee,shopee_meja
isi cuma 19,,negative,owned_tokped,tokped_masker_negative
Warna led tidak sesuai permintaan,2.0,negative,owned_shopee,shopee_kipas
"Kipas ngga berfungsi gini dikirim
Coba tolong dicek sebelum dikirim
Rugi! Ini ga buat dipake sendiri tp dijual lagi",1.0,negative,owned_shopee,shopee_kipas
flashdisk harus diformat terlebih dahulu dan flashdisk tidak dapat menyimpan data dan file yg sudah tercopy malah hilang datanya....,,negative,owned_tokped,tokped_flashdisk_negative
"sepatu ga seperti pada display, warna nya beda antara bagian tengah dan depan, kaos kaki ga muat ukuran nya seupil pas untuk PAUD, sangat kecewa silahkan liat pada gambar, bukan karena efek kamera atau lampu tp memang yg ane dapet warna nya belang !!! kalau ada yg minat silahkan mau ane lelang lagi !!!!",,negative,owned_tokped,tokped_sepatu_kulit_negative
"Beli 5,masih dicoba 1 dan g bisa ke buka,blm tau yg 4 kayak nisa atau nggak??",2.0,negative,owned_shopee,shopee_flashdisk
"Harga:b
Kualitas:b
Ketajaman:b

Percuma beli disini, barang dikirim kurang, spatula saya tidak dikirim mendimg ke toko lain saja 
Percuma jangam beli disini",2.0,negative,owned_shopee,shopee_pisau_dapur
pas saya buka.. batre nya harus nya ada 3 ..ini cmn ada 1... sungguh tidak memuaskan,,negative,owned_tokped,tokped_speaker_bluetooth_negative
"Saya kira setelah dicharger ternyata tetap aja nggak keluar suara kayak yang satunya. 
Suaranya cuma pap Sik pap Sik. Abaikan suara masjid",2.0,negative,owned_shopee,shopee_speaker_bluetooth
"sangat lama kering, dan berbau lem sangat menyengat. tp untuk pengiriman sih oke",2.0,negative,owned_shopee,shopee_mascara
"Hasilnya gk bagus ada bercak garis merah, sprti brang bekas",1.0,negative,owned_shopee,shopee_kamera
"Barang sudah sampai tapi sayang barangnya kaleng kaleng, bukan kulit, tulisannya doang kulit asli, kurang memuaskan pokoknya, harganya juga mahal harusnya 30rb klw buat gesper kualitas sprti itu, ??",2.0,negative,owned_shopee,shopee_ikat_pinggang
"Ordernya warna apa dikirimnya warna apa,,motif juga beda, di chat tidak di balas gimana sih",1.0,negative,owned_shopee,shopee_pakaian_wanita_done
"Barang tidak sesuai dengan yg difoto, kecewa bngt?",1.0,negative,owned_shopee,shopee_ikat_pinggang
"Udh g bisa d pke, kratan dlm.a",2.0,negative,owned_shopee,shopee_kacamata
Kualitas:blushon nya remuk,1.0,negative,owned_shopee,shopee_blushon
"Harga:murah
Kualitas:jelek
Desain:beda dengan photo",1.0,negative,owned_shopee,shopee_meja
masker tipis tdk sesuai pesanan sebelumnya,,negative,owned_tokped,tokped_masker_negative
jangan tergiur dengan harga murah.flashdisk nya gak kepake karena gak kebaca setelah diisi file,,negative,owned_tokped,tokped_flashdisk_negative
"Pesen 6 yang dikirim cuma 5, mana tidak diganti uang! Saya pm juga tidak pernah dibalas. Saya tunggu kekurangannya mau dikirim ulang cincin love xupingnya atau diganti uang saja! ada barang yg dikirim salah tapi tidak apa2 yang penting yg tidak dikirim itu saya tunggu pertanggungjawabannya.",1.0,negative,owned_shopee,shopee_cincin
"Kipas nya masa harus d cas trus ...
Klo ga d cas ga bisa nyala ...
Kecewa jd ga bisa s bawa ke mana"" ..
",1.0,negative,owned_shopee,shopee_kipas
Produk ga dikirim!!!,,negative,owned_tokped,tokped_masker_negative
Gagal tidak ada respon penjual salah warna minta warna hitam dikasih wrna lain dichat pun tidak ada respon-_-,1.0,negative,owned_shopee,shopee_kacamata
"Kecewa bgt. Pas Aku lihat previewnya sih bagus"", tp kok pas aku pesen barangnya dateng gk sesuai gambar. Kalo gini kan gak bisa ku pasang di kipasku. Bner bisa di retur, tp bkal nunggu 2x lagi. Duh kecewa bgt.",1.0,negative,owned_shopee,shopee_kipas
Sangat kecewa dgn kualitasnya,,negative,owned_tokped,tokped_ikat_pinggang_negative
"Harga:tidak wajar
Kegunaan:gak berguna
Kualitas:parah

Barang yang saya beli tungku kompor gas Todachi dan ini permintaan dari ibu saya, tetapi barang yang saya terima tidak sesuai dengan apa yang saya beli bahkan barang tersebut tidak dapat difungsikan dikompor gas, bukan masalah harga tetapi komitmen dari pihak toko yang tidak amanah. Dan ini terakhir",1.0,negative,owned_shopee,shopee_kompor
"flashdisk nya ga kebaca, udah mah kelihatan dari kualitas pisik nya juga ga kokoh oblak,",2.0,negative,owned_shopee,shopee_flashdisk
barang yang amat sangat buruk sekali...,,negative,owned_tokped,tokped_flashdisk_negative
"Ga bisa dipakeee.. ga nyala, ga mutar sama skaliii... Makasih seller",1.0,negative,owned_shopee,shopee_kipas
Baaaaaaaaaacooooooooottttt konnnnntollllllllllllllll,1.0,negative,owned_shopee,shopee_aksesoris
"bilangnya ukuran dewasa pass datang sangat mengecewakan kecil pisan,,,,",,negative,owned_tokped,tokped_masker_negative
"beli 2 x dalam seminggu, 2GB dan 8GB, trnyt permasalahannya sama, banyak file foto yang tidak bisa dibuka. video juga tidak bisa di play. Sangat kecewa membeli produk ini.",,negative,owned_tokped,tokped_flashdisk_negative
"Respon lambat, packing tdk bagus/ tdk dari higyenis, maskernya biasa aja",,negative,owned_tokped,tokped_masker_negative
"Packingnya sedikit tidak bagus,barangnya tipis",2.0,negative,owned_shopee,shopee_sepatu_kulit
"mesin nya retak parah,kabel colokan nya patah satu,ini mas/mba nya niat jualan gak sih .. barang rusak tuh jangan di jual .. tolong tanggung jawab nya ini ..saya beli bukan minta",1.0,negative,owned_shopee,shopee_kipas
"Maaf, saya kurang memuaskan. Hanya bintang sja yang berbicara. Kalau Soal pesanannya sngat amanah. Respon penjual baik. Kurir pun ramah",2.0,negative,owned_shopee,shopee_lipstick
"Barang error semua, gagal deh pokonya.",,negative,owned_tokped,tokped_flashdisk_negative
"barang tidak sesuai gambar, di gambar kulit tapi yg dateng bukan, maaf aku kasih bintang 2 karna tidak sesuai ekspektasi",2.0,negative,owned_shopee,shopee_ikat_pinggang
"usb ada yg rusak, ada yang bagus.",,negative,owned_tokped,tokped_flashdisk_negative
Kurang baek lisptik nya?,2.0,negative,owned_shopee,shopee_lipstick
barang tidak bisa di pakai di karnakan tidak ada suaranya,,negative,owned_tokped,tokped_speaker_bluetooth_negative
" Kualitas produk tidak baik, putus nyambung melulu, lebih sering putusnya, gak kepake dah ni kabel, kl dipaksain takut batre hp bocor",1.0,negative,owned_shopee,shopee_charger
"Salah saya sih ga baca reviewnya dulu ya kalau ada ternyata barang2nya yg ga bisa berfungsi. Ini toko penjualnya masih OK, masih mau gantiin chargernya, tapi ongkos di tanggung bersama... kenapa saya musti ngeluarin duit lagi buat barang yang ga bisa dipake?",1.0,negative,owned_shopee,shopee_charger
memang benar kikngstun kurang.,,negative,owned_tokped,tokped_flashdisk_negative
"pengiriman dan pengemasan bagus/baik, barang juga sebenernya bagus.Pesen 3cincin yg berbeda tapi yg dateng cincinnya sama semua. Dan cincin yg dateng tidak sesuai yg digambar",1.0,negative,owned_shopee,shopee_cincin
Pengiriman lama banget. Saya pake pengiriman same-day. Pesan tgl 21 malam berharap tgl 22 bisa di kirim. Ternyata dikirimnya tgl 24!,,negative,owned_tokped,tokped_kompor_negative
"Seharusnya jadi penjual yang jujur seperti competitors lain, bila produk KW tulis dengan jelas NON-ORI, barulah dagang bisa LANGGENG & MAJU & BESAR. Tidak mengakui kesalahan berarti tanda tidak jujur..!",,negative,owned_tokped,tokped_flashdisk_negative
Kapasitas gak sesuai.... cuma 16GB 🤣,,negative,owned_tokped,tokped_flashdisk_negative
"Barangnya  sudah datang. Sesuai pesanan saya dan barangnya juga seauai sama gambar ???????
Tapi sedikit kecewa sih karena kipas anginnya kecilnya tidak berfungsi atau tidak nyala.
Tolong diperhatikan lagi ke depannya agar pembeli tidak kecewa. Jika sudah rusak lebih baik tdak usah dikirim ths",1.0,negative,owned_shopee,shopee_kipas
"kirain kemasan 3, ternyata repack",,negative,owned_tokped,tokped_masker_negative
"suara speaker besar sebelah kana, suara speaker setelah kiri ada tapi kecil banget suaranya alias tidak seimbang antara speaker sebelah kiri dan sebelah kanan, mohon di test terlebih dahulu sebelum mengirim barang ke costumer...",,negative,owned_tokped,tokped_speaker_bluetooth_negative
"Beli 5 
Yg berpungsi 3 makasih bos",2.0,negative,owned_shopee,shopee_headset
Gabisa berputar gimana sih barangnya gak bagus rugi aku beli??????????,1.0,negative,owned_shopee,shopee_kipas
Bagus tapi tipis banget,1.0,negative,owned_shopee,shopee_pakaian_wanita_done
"Barang baru datang gak bisa di pakai, bagian dalam kipas kayak dah gak kenceng, kipas dalamnya mau copot, emang seh bablewrapnya banyak, tapi kalau bable wrap banyak harusnya gak mudah rusak, lebih kemungkinan, barang yang di kirim emang sudah rusak dari tempatnya",1.0,negative,owned_shopee,shopee_kipas
"Rusak 3 , barang semua minyak minyak",2.0,negative,owned_shopee,shopee_kipas
saya mau tukar barang. krn saya udah bilang tipe yg saya pesan tapi tetap bukan yg saya minta dikirim Kualitas produk tidak baik.,1.0,negative,owned_shopee,shopee_kompor
speaker datang tanpa chip.... sdh proses komplain tapi seller tdk percaya.,,negative,owned_tokped,tokped_speaker_bluetooth_negative
kickers kw tapi bahan bagus dan jahitan rapi klo bisa pakai merek sendiri itu saja kurangnya,,negative,owned_tokped,tokped_sepatu_kulit_negative
"Tlg jgn kirim barang yg rusak... Mohon di cek sblm pengiriman... Gagang kipasnya ga bisa  nyala padahal udah d charge semalaman, tp waktu dicoba d gagang lain bisa, gagang bawaan sndr malah g bisa... Sebelumnya udh prnh belanja dsini dan ga mengecewakan tp skrng kok dikirim barang rusak... Y sudahl.",1.0,negative,owned_shopee,shopee_kipas
Produk cacati,1.0,negative,owned_shopee,shopee_setrika
"Pesan warna army datang jotol,  kecewa",1.0,negative,owned_shopee,shopee_pakaian_wanita_done
"daging tidak sesuai di fotodan deskripsi,daging keras.",1.0,negative,owned_shopee,shopee_daging
"Barang sudah diformat berulang kali, tetapi tetap filenya rusak setelah dicopy. Ini kenapa ya?",,negative,owned_tokped,tokped_flashdisk_negative
Produk kurang puas barang nyampai cacat kabel bagian batrai putus....dan batrai lowbat ,2.0,negative,owned_shopee,shopee_speaker_bluetooth
"Produk sih baik,
Pejualnya yang kurang baik, 
sebelumnya sudah ada permintaan batal kirim eh masih dikirim kan, 
Setelah dikirimkan pun berbeda, di iklan nya RGB yang datang warna lain,",1.0,negative,owned_shopee,shopee_kipas
Pesan 2 Dapat 1 Pink Mati Pula Hahaha,1.0,negative,owned_shopee,shopee_charger
"Mnta no 6 di kirim no 2, ini udah yg ke 3 x nya begitu.. Harusnya kl ga ada konfirmasi dl. Mau ga di ganti.. Biar jaga nama toko..
Kl salah masak smpe 3x..",1.0,negative,owned_shopee,shopee_lipstick
"Sumpah jelek banget produk yg ini..
Besi karatan,,mata cincin cm nempel di atas tidak masuk k dalam ring,,lem jg ga rapi..
Warna bukan kuning tp lebih ke orange..
Menurut saya kemahalan dg harga segitu..",1.0,negative,owned_shopee,shopee_cincin
"Udah 3 kali order d sni. Tapi gak pernah pas semua yg d kirim. Awalnya pesan 2 set. Yg d kirim hanya 1 set. Chat gak d respon. Aq beli lagi yg satu set nya, eh.. Yg dikirim lain cincinnya.
Ini beli lagi 1 set. Antingnya Beda yg datang. Aq yg Apes atau gmna ya... Tlg dong sist, di perhatikan lagi... ",2.0,negative,owned_shopee,shopee_aksesoris
Yang datang cuma plastik nya aja gapapa lah shodakoh ??,1.0,negative,owned_shopee,shopee_headset
"kecewa. iya tau belinya pas flash sale jadi lebih murah, cuma ya gak dengan ngasih barang ancur gini. seal garansinya udh rusak pas sampai di pembeli jadi gabisa di redeem garansinya. kabel dalemnya aja ampe keliatan dr luar. kardus udh ancur, robek. beruntung setrika masi bs dipake, cm kurang panas",2.0,negative,owned_shopee,shopee_setrika
"Pesanan tidak ada yg sesuai dgn gambar sama sekali, kualitas barang jelek, pengemasan lama banget plus asal asalan, customer service jutek dan tidak membantu, kalo emang gak niat diskon, gak usah ada diskon, shopee mall tp mengecewakan. ",1.0,negative,owned_shopee,shopee_aksesoris
